Top Domain,First Domain,Second Domain,Third Domain,Fourth Domain
computer_science,internet,peer-to-peer_networks,blockchain,hyperledger
computer_science,internet,peer-to-peer_networks,peer-to-peer_file_sharing,
computer_science,internet,peer-to-peer_networks,gnutella,
computer_science,internet,peer-to-peer_networks,overlay_network,
computer_science,internet,peer-to-peer_networks,overlay_network,dht
computer_science,internet,peer-to-peer_networks,overlay_network,distributed_hash_table_%28dht%29
computer_science,internet,peer-to-peer_networks,overlay_network,distributed_hash_table
computer_science,internet,peer-to-peer_networks,overlay_network,distributed_hash_tables_%28dht%29
computer_science,internet,peer-to-peer_networks,overlay_network,distributed_hash_tables
computer_science,internet,peer-to-peer_networks,file_sharing,
computer_science,internet,peer-to-peer_networks,bittorrent,
computer_science,internet,peer-to-peer_networks,overlay_networks,dht
computer_science,internet,peer-to-peer_networks,overlay_networks,distributed_hash_table_%28dht%29
computer_science,internet,peer-to-peer_networks,overlay_networks,distributed_hash_table
computer_science,internet,peer-to-peer_networks,overlay_networks,distributed_hash_tables_%28dht%29
computer_science,internet,peer-to-peer_networks,overlay_networks,distributed_hash_tables
computer_science,internet,peer-to-peer_networks,content_delivery_network,
computer_science,internet,peer-to-peer,,
computer_science,internet,peer-to-peer,jxta,
computer_science,internet,peer-to-peer,blockchain,cryptocurrency
computer_science,internet,peer-to-peer,blockchain,ethereum
computer_science,internet,peer-to-peer,blockchain,hyperledger
computer_science,internet,peer-to-peer,peer-to-peer_file_sharing,
computer_science,internet,peer-to-peer,gnutella,
computer_science,internet,peer-to-peer,overlay_network,
computer_science,internet,peer-to-peer,overlay_network,dht
computer_science,internet,peer-to-peer,overlay_network,distributed_hash_table_%28dht%29
computer_science,internet,peer-to-peer,overlay_network,distributed_hash_table
computer_science,internet,peer-to-peer,overlay_network,distributed_hash_tables_%28dht%29
computer_science,internet,peer-to-peer,overlay_network,distributed_hash_tables
computer_science,internet,peer-to-peer,content_delivery_network,
computer_science,internet,peer-to-peer,file_sharing,
computer_science,internet,peer-to-peer,bittorrent,
computer_science,internet,peer-to-peer,overlay_networks,dht
computer_science,internet,peer-to-peer,overlay_networks,distributed_hash_table_%28dht%29
computer_science,internet,peer-to-peer,overlay_networks,distributed_hash_table
computer_science,internet,peer-to-peer,overlay_networks,distributed_hash_tables_%28dht%29
computer_science,internet,peer-to-peer,overlay_networks,distributed_hash_tables
computer_science,internet,network_protocols,medium_access_control,mac_protocols
computer_science,internet,network_protocols,medium_access_control,mac
computer_science,internet,network_protocols,medium_access_control,mac_protocol
computer_science,internet,network_protocols,medium_access_control_%28mac%29,mac_protocols
computer_science,internet,network_protocols,medium_access_control_%28mac%29,mac
computer_science,internet,network_protocols,medium_access_control_%28mac%29,mac_protocol
computer_science,internet,network_protocols,medium_access_control%28mac%29,mac_protocols
computer_science,internet,network_protocols,medium_access_control%28mac%29,mac
computer_science,internet,network_protocols,medium_access_control%28mac%29,mac_protocol
computer_science,internet,network_protocols,medium_access_control_protocols,mac_protocols
computer_science,internet,network_protocols,medium_access_control_protocols,mac
computer_science,internet,network_protocols,medium_access_control_protocols,mac_protocol
computer_science,internet,network_protocols,tcp,user_datagram_protocol
computer_science,internet,network_protocols,tcp,tcp_congestion_control
computer_science,internet,network_protocols,cryptographic_protocol,
computer_science,internet,p2p_applications,jxta,
computer_science,internet,p2p_applications,blockchain,cryptocurrency
computer_science,internet,p2p_applications,blockchain,ethereum
computer_science,internet,p2p_applications,blockchain,hyperledger
computer_science,internet,p2p_applications,peer-to-peer_file_sharing,
computer_science,internet,p2p_applications,gnutella,
computer_science,internet,p2p_applications,overlay_network,
computer_science,internet,p2p_applications,overlay_network,dht
computer_science,internet,p2p_applications,overlay_network,distributed_hash_table_%28dht%29
computer_science,internet,p2p_applications,overlay_network,distributed_hash_table
computer_science,internet,p2p_applications,overlay_network,distributed_hash_tables_%28dht%29
computer_science,internet,p2p_applications,overlay_network,distributed_hash_tables
computer_science,internet,p2p_applications,content_delivery_network,
computer_science,internet,p2p_applications,file_sharing,
computer_science,internet,p2p_applications,bittorrent,
computer_science,internet,p2p_applications,overlay_networks,dht
computer_science,internet,p2p_applications,overlay_networks,distributed_hash_table_%28dht%29
computer_science,internet,p2p_applications,overlay_networks,distributed_hash_table
computer_science,internet,p2p_applications,overlay_networks,distributed_hash_tables_%28dht%29
computer_science,internet,p2p_applications,overlay_networks,distributed_hash_tables
computer_science,internet,peer-to-peer_technologies,jxta,
computer_science,internet,peer-to-peer_technologies,blockchain,cryptocurrency
computer_science,internet,peer-to-peer_technologies,blockchain,ethereum
computer_science,internet,peer-to-peer_technologies,blockchain,hyperledger
computer_science,internet,peer-to-peer_technologies,peer-to-peer_file_sharing,
computer_science,internet,peer-to-peer_technologies,gnutella,
computer_science,internet,peer-to-peer_technologies,overlay_network,
computer_science,internet,peer-to-peer_technologies,overlay_network,dht
computer_science,internet,peer-to-peer_technologies,overlay_network,distributed_hash_table_%28dht%29
computer_science,internet,peer-to-peer_technologies,overlay_network,distributed_hash_table
computer_science,internet,peer-to-peer_technologies,overlay_network,distributed_hash_tables_%28dht%29
computer_science,internet,peer-to-peer_technologies,overlay_network,distributed_hash_tables
computer_science,internet,peer-to-peer_technologies,content_delivery_network,
computer_science,internet,peer-to-peer_technologies,file_sharing,
