subject,relation,object
multiview_video_coding,cso#superTopicOf,3d_video_coding
multi-view,cso#superTopicOf,multiview_video_coding
auto-stereoscopic_display,cso#superTopicOf,auto_stereoscopic
auto-stereoscopic_display,cso#superTopicOf,parallax_barriers
autostereoscopic_display,cso#superTopicOf,auto_stereoscopic
autostereoscopic_display,cso#superTopicOf,parallax_barriers
3-d_displays,cso#superTopicOf,auto-stereoscopic_display
3-d_displays,cso#superTopicOf,autostereoscopic_display
3d_display,cso#superTopicOf,auto-stereoscopic_display
3d_display,cso#superTopicOf,autostereoscopic_display
multi-views,cso#superTopicOf,multiview_video_coding
web2.0,cso#superTopicOf,folksonomy
web2.0,cso#superTopicOf,folksonomies
web2.0,cso#superTopicOf,web_2.0_applications
web2.0,cso#superTopicOf,social_software
web2.0,cso#superTopicOf,wiki
web2.0,cso#superTopicOf,mashup
web2.0,cso#superTopicOf,enterprise_2.0
web2.0,cso#superTopicOf,ajax
web2.0,cso#superTopicOf,social_bookmarking
web2.0,cso#superTopicOf,web_2.0_technologies
web2.0,cso#superTopicOf,wikis
web2.0,cso#superTopicOf,social_web
web2.0,cso#superTopicOf,social_webs
web2.0,cso#superTopicOf,user-generated_content
web2.0,cso#superTopicOf,user_generated_content
knowledge_base,cso#superTopicOf,knowledge_engineers
knowledge_bases,cso#superTopicOf,knowledge_engineers
semantic_web_services,cso#superTopicOf,semantic_web_service_discovery
web_service_discovery,cso#superTopicOf,semantic_web_service_discovery
web_service_discovery,cso#superTopicOf,web_service_description
semantic_web_applications,cso#superTopicOf,semantic_descriptions
semantic_web_applications,cso#superTopicOf,semantic_service
semantic_web_applications,cso#superTopicOf,ontology_matching
semantic_web_applications,cso#superTopicOf,ontology_alignment
semantic_web_applications,cso#superTopicOf,linked_data
semantic_web_applications,cso#superTopicOf,semantic_search
semantic_web_applications,cso#superTopicOf,resource_description_framework
semantic_web_applications,cso#superTopicOf,resource_description_framework_%28rdf%29
semantic_web,cso#superTopicOf,semantic_descriptions
semantic_web,cso#superTopicOf,semantic_service
semantic_web,cso#superTopicOf,ontology_matching
semantic_web,cso#superTopicOf,ontology_alignment
semantic_web,cso#superTopicOf,linked_data
semantic_web,cso#superTopicOf,semantic_search
