Parent,Relation,Child
https://cso.kmi.open.ac.uk/topics/adaptive_routing_algorithm,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Routing
https://cso.kmi.open.ac.uk/topics/adaptive_sliding_mode_control,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Sliding_mode_control
https://cso.kmi.open.ac.uk/topics/adaptive_sliding_mode_controller,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Sliding_mode_control
https://cso.kmi.open.ac.uk/topics/adcp,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Acoustic_Doppler_current_profiler
https://cso.kmi.open.ac.uk/topics/adder,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Vipera_berus
https://cso.kmi.open.ac.uk/topics/additive_gaussian_noise,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Additive_white_Gaussian_noise
https://cso.kmi.open.ac.uk/topics/additive_noise,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Additive_white_Gaussian_noise
https://cso.kmi.open.ac.uk/topics/additive_white_gaussian_noise,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Additive_white_Gaussian_noise
https://cso.kmi.open.ac.uk/topics/additive_white_gaussian_noise_%28awgn%29,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Additive_white_Gaussian_noise
https://cso.kmi.open.ac.uk/topics/additive_white_gaussian_noise_channel,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Additive_white_Gaussian_noise
https://cso.kmi.open.ac.uk/topics/adjacent_channel_interference,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adjacent-channel_interference
https://cso.kmi.open.ac.uk/topics/adjoint_method,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adjoint
https://cso.kmi.open.ac.uk/topics/adjoint_methods,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Adjoint
https://cso.kmi.open.ac.uk/topics/advanced_encryption_standard,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Advanced_Encryption_Standard
https://cso.kmi.open.ac.uk/topics/advanced_encryption_standard_%28aes%29,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Advanced_Encryption_Standard
https://cso.kmi.open.ac.uk/topics/aero-engine,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Aircraft_engine
https://cso.kmi.open.ac.uk/topics/aerospace_engineering,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Aerospace_engineering
https://cso.kmi.open.ac.uk/topics/aes_encryption,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Advanced_Encryption_Standard
https://cso.kmi.open.ac.uk/topics/affective_computing,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Affective_computing
https://cso.kmi.open.ac.uk/topics/agc,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Automatic_gain_control
https://cso.kmi.open.ac.uk/topics/agent_model,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based_approach,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based_architecture,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based_framework,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based_modelling,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based_simulation,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based_simulation_models,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based_system,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agent-based_systems,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agent-based_model
https://cso.kmi.open.ac.uk/topics/agglomerative_hierarchical_clustering,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Hierarchical_clustering
https://cso.kmi.open.ac.uk/topics/agile_development,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agile_software_development
https://cso.kmi.open.ac.uk/topics/agile_methodologies,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agile_software_development
https://cso.kmi.open.ac.uk/topics/agile_methods,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agile_software_development
https://cso.kmi.open.ac.uk/topics/agile_software_development,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Agile_software_development
https://cso.kmi.open.ac.uk/topics/agricultural_mechanization,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Mechanization
https://cso.kmi.open.ac.uk/topics/agv,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Automated_guided_vehicle
https://cso.kmi.open.ac.uk/topics/ai_planning,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Automated_planning_and_scheduling
https://cso.kmi.open.ac.uk/topics/air_navigation,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Air_navigation
https://cso.kmi.open.ac.uk/topics/air_traffic_controller,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Air_traffic_controller
https://cso.kmi.open.ac.uk/topics/algorithmic_game_theory,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Algorithmic_game_theory
https://cso.kmi.open.ac.uk/topics/allied_health_education,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Health_education
https://cso.kmi.open.ac.uk/topics/aluminum_gallium_arsenide,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Gallium_arsenide
https://cso.kmi.open.ac.uk/topics/ambient_assisted_living,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Assisted_living
https://cso.kmi.open.ac.uk/topics/ambient_intelligence,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Ambient_intelligence
https://cso.kmi.open.ac.uk/topics/ambient_noise,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Background_noise
https://cso.kmi.open.ac.uk/topics/ambient_occlusion,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Ambient_occlusion
https://cso.kmi.open.ac.uk/topics/ambient_vibrations,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Seismic_noise
https://cso.kmi.open.ac.uk/topics/amplified_spontaneous_emission,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Amplified_spontaneous_emission
https://cso.kmi.open.ac.uk/topics/analog_integrated_circuit,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Analogue_electronics
https://cso.kmi.open.ac.uk/topics/analog_network_coding,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Linear_network_coding
https://cso.kmi.open.ac.uk/topics/analytic_hierarchy,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Analytical_hierarchy
https://cso.kmi.open.ac.uk/topics/analytic_hierarchy_process,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Analytic_hierarchy_process
https://cso.kmi.open.ac.uk/topics/analytic_hierarchy_process_%28ahp%29,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Analytic_hierarchy_process
https://cso.kmi.open.ac.uk/topics/analytic_signal,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Analytic_signal
https://cso.kmi.open.ac.uk/topics/android_%28operating_system%29,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Android_(operating_system)
https://cso.kmi.open.ac.uk/topics/anechoic_chambers,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anechoic_chamber
https://cso.kmi.open.ac.uk/topics/anomaly_detection,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anomaly_detection
https://cso.kmi.open.ac.uk/topics/anomaly_detection_methods,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anomaly_detection
https://cso.kmi.open.ac.uk/topics/anomaly_detection_systems,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anomaly_detection
https://cso.kmi.open.ac.uk/topics/answer_set_programming,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Answer_set_programming
https://cso.kmi.open.ac.uk/topics/ant_colony_optimization,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Ant_colony_optimization_algorithms
https://cso.kmi.open.ac.uk/topics/antenna,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Antenna_(radio)
https://cso.kmi.open.ac.uk/topics/antenna_accessories,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Antenna_(radio)
https://cso.kmi.open.ac.uk/topics/antenna_array,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Phased_array
https://cso.kmi.open.ac.uk/topics/antenna_diversity,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Antenna_diversity
https://cso.kmi.open.ac.uk/topics/antenna_pattern,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Radiation_pattern
https://cso.kmi.open.ac.uk/topics/antenna_reflectors,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Reflector_(antenna)
https://cso.kmi.open.ac.uk/topics/anthropomorphic_robots,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anthropomorphism
https://cso.kmi.open.ac.uk/topics/anti-malware,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Antivirus_software
https://cso.kmi.open.ac.uk/topics/anti-spam,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anti-spam_techniques
https://cso.kmi.open.ac.uk/topics/anticyclone,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anticyclone
https://cso.kmi.open.ac.uk/topics/antivirus_softwares,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Antivirus_software
https://cso.kmi.open.ac.uk/topics/anycast,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anycast
https://cso.kmi.open.ac.uk/topics/anycast_routing,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Anycast
