Original URL,Link Type,Link Subtype,Links
https://cso.kmi.open.ac.uk/topics/facial_feature_extraction,other,same as,http://rdf.freebase.com/ns/m.01k4g2
https://cso.kmi.open.ac.uk/topics/facial_feature_extraction,wikipedia,related link,http://en.wikipedia.org/wiki/Feature_extraction
https://cso.kmi.open.ac.uk/topics/component-based_software,dbpedia,same as,http://dbpedia.org/resource/Component-based_software_engineering
https://cso.kmi.open.ac.uk/topics/component-based_software,other,same as,http://www.wikidata.org/entity/Q609588
https://cso.kmi.open.ac.uk/topics/component-based_software,other,same as,http://rdf.freebase.com/ns/m.084k1b
https://cso.kmi.open.ac.uk/topics/component-based_software,other,same as,http://yago-knowledge.org/resource/Component-based_software_engineering
https://cso.kmi.open.ac.uk/topics/component-based_software,wikipedia,related link,http://en.wikipedia.org/wiki/Component-based_software_engineering
https://cso.kmi.open.ac.uk/topics/differential_group_delay,other,related link,https://academic.microsoft.com/#/detail/200841860
https://cso.kmi.open.ac.uk/topics/optical_phase_conjugation,dbpedia,same as,http://dbpedia.org/resource/Nonlinear_optics
https://cso.kmi.open.ac.uk/topics/optical_phase_conjugation,other,same as,http://www.wikidata.org/entity/Q756033
https://cso.kmi.open.ac.uk/topics/optical_phase_conjugation,other,same as,http://rdf.freebase.com/ns/m.05g4s
https://cso.kmi.open.ac.uk/topics/optical_phase_conjugation,other,same as,http://yago-knowledge.org/resource/Nonlinear_optics
https://cso.kmi.open.ac.uk/topics/optical_phase_conjugation,wikipedia,related link,http://en.wikipedia.org/wiki/Nonlinear_optics
https://cso.kmi.open.ac.uk/topics/automatic_code_generation,dbpedia,same as,http://dbpedia.org/resource/Automatic_programming
https://cso.kmi.open.ac.uk/topics/automatic_code_generation,other,same as,http://www.wikidata.org/entity/Q762268
https://cso.kmi.open.ac.uk/topics/automatic_code_generation,other,same as,http://rdf.freebase.com/ns/m.047kx9
https://cso.kmi.open.ac.uk/topics/automatic_code_generation,other,same as,http://yago-knowledge.org/resource/Automatic_programming
https://cso.kmi.open.ac.uk/topics/automatic_code_generation,wikipedia,related link,http://en.wikipedia.org/wiki/Automatic_programming
https://cso.kmi.open.ac.uk/topics/floating-point_arithmetic,dbpedia,same as,http://dbpedia.org/resource/Floating_point
