Original URL,Link Type,Link Subtype,Links
https://cso.kmi.open.ac.uk/topics/face_detection,wikipedia,related link,http://en.wikipedia.org/wiki/Face_detection
https://cso.kmi.open.ac.uk/topics/graphic_cards,wikipedia,related link,http://en.wikipedia.org/wiki/Video_card
https://cso.kmi.open.ac.uk/topics/positron_annihilation_lifetime_spectroscopy,wikipedia,related link,http://en.wikipedia.org/wiki/Positron
https://cso.kmi.open.ac.uk/topics/gyro_sensors,wikipedia,related link,http://en.wikipedia.org/wiki/Gyroscope
https://cso.kmi.open.ac.uk/topics/key_management_protocols,wikipedia,related link,http://en.wikipedia.org/wiki/Key_management
https://cso.kmi.open.ac.uk/topics/sdr,wikipedia,related link,http://en.wikipedia.org/wiki/Special_drawing_rights
https://cso.kmi.open.ac.uk/topics/fp_tree,wikipedia,related link,http://en.wikipedia.org/wiki/Tree
https://cso.kmi.open.ac.uk/topics/gate_dielectrics,wikipedia,related link,http://en.wikipedia.org/wiki/Dielectric
https://cso.kmi.open.ac.uk/topics/treemap,wikipedia,related link,http://en.wikipedia.org/wiki/Treemapping
https://cso.kmi.open.ac.uk/topics/electroencephalographic_signals,wikipedia,related link,http://en.wikipedia.org/wiki/Electroencephalography
https://cso.kmi.open.ac.uk/topics/hemt,wikipedia,related link,http://en.wikipedia.org/wiki/High-electron-mobility_transistor
https://cso.kmi.open.ac.uk/topics/edge_detectors,wikipedia,related link,http://en.wikipedia.org/wiki/Edge_detection
https://cso.kmi.open.ac.uk/topics/operational_semantics,wikipedia,related link,http://en.wikipedia.org/wiki/Operational_semantics
https://cso.kmi.open.ac.uk/topics/stable_model,wikipedia,related link,http://en.wikipedia.org/wiki/Stable_model_semantics
https://cso.kmi.open.ac.uk/topics/quantum_gates,wikipedia,related link,http://en.wikipedia.org/wiki/Quantum_mechanics
https://cso.kmi.open.ac.uk/topics/wireless_cellular_networks,wikipedia,related link,http://en.wikipedia.org/wiki/Wireless
https://cso.kmi.open.ac.uk/topics/fusion_rule,wikipedia,related link,http://en.wikipedia.org/wiki/Nuclear_fusion
https://cso.kmi.open.ac.uk/topics/xacml,wikipedia,related link,http://en.wikipedia.org/wiki/XACML
https://cso.kmi.open.ac.uk/topics/nonlinear_transformation,wikipedia,related link,http://en.wikipedia.org/wiki/Nonlinear_system
https://cso.kmi.open.ac.uk/topics/integral_equation,wikipedia,related link,http://en.wikipedia.org/wiki/Integral_equation
https://cso.kmi.open.ac.uk/topics/lambda-calculus,wikipedia,related link,http://en.wikipedia.org/wiki/Lambda_calculus
https://cso.kmi.open.ac.uk/topics/radar_astronomy,wikipedia,related link,http://en.wikipedia.org/wiki/Radar_astronomy
https://cso.kmi.open.ac.uk/topics/dynamic_languages,wikipedia,related link,http://en.wikipedia.org/wiki/Dynamic_programming_language
https://cso.kmi.open.ac.uk/topics/key_management_schemes,wikipedia,related link,http://en.wikipedia.org/wiki/Key_management
https://cso.kmi.open.ac.uk/topics/emotion_recognition,wikipedia,related link,http://en.wikipedia.org/wiki/Emotion_recognition
https://cso.kmi.open.ac.uk/topics/ultra-wideband_technology,wikipedia,related link,http://en.wikipedia.org/wiki/Ultra-wideband
https://cso.kmi.open.ac.uk/topics/computed_torque_control,wikipedia,related link,http://en.wikipedia.org/wiki/Torque
https://cso.kmi.open.ac.uk/topics/laser_doppler_vibrometry,wikipedia,related link,http://en.wikipedia.org/wiki/Laser
https://cso.kmi.open.ac.uk/topics/acoustic_doppler_current_profiler,wikipedia,related link,http://en.wikipedia.org/wiki/Acoustic_Doppler_current_profiler
https://cso.kmi.open.ac.uk/topics/corrosion_prevention,wikipedia,related link,http://en.wikipedia.org/wiki/Corrosion
https://cso.kmi.open.ac.uk/topics/computer_aided_manufacturing,wikipedia,related link,http://en.wikipedia.org/wiki/Computer-aided_manufacturing
https://cso.kmi.open.ac.uk/topics/data_augmentation,wikipedia,related link,http://en.wikipedia.org/wiki/Convolutional_neural_network
https://cso.kmi.open.ac.uk/topics/metadata_servers,wikipedia,related link,http://en.wikipedia.org/wiki/Metadata
https://cso.kmi.open.ac.uk/topics/voice_over_internet_protocol,wikipedia,related link,http://en.wikipedia.org/wiki/Internet_Protocol
https://cso.kmi.open.ac.uk/topics/sonar_sensor,wikipedia,related link,http://en.wikipedia.org/wiki/Sonar
https://cso.kmi.open.ac.uk/topics/dynamic_mechanical_analysis,wikipedia,related link,http://en.wikipedia.org/wiki/Dynamic_mechanical_analysis
https://cso.kmi.open.ac.uk/topics/data_broadcasting,wikipedia,related link,http://en.wikipedia.org/wiki/Datacasting
https://cso.kmi.open.ac.uk/topics/stereo_camera,wikipedia,related link,http://en.wikipedia.org/wiki/Stereo_camera
https://cso.kmi.open.ac.uk/topics/femtosecond_pulse,wikipedia,related link,http://en.wikipedia.org/wiki/Femtosecond
https://cso.kmi.open.ac.uk/topics/learning_object,wikipedia,related link,http://en.wikipedia.org/wiki/Learning_object
https://cso.kmi.open.ac.uk/topics/text_classification_methods,wikipedia,related link,http://en.wikipedia.org/wiki/Document_classification
https://cso.kmi.open.ac.uk/topics/p2p,wikipedia,related link,http://en.wikipedia.org/wiki/Peer-to-peer
https://cso.kmi.open.ac.uk/topics/microrobot,wikipedia,related link,http://en.wikipedia.org/wiki/Microbotics
https://cso.kmi.open.ac.uk/topics/machining_operations,wikipedia,related link,http://en.wikipedia.org/wiki/Machining
https://cso.kmi.open.ac.uk/topics/linear_motor,wikipedia,related link,http://en.wikipedia.org/wiki/Linear_motor
https://cso.kmi.open.ac.uk/topics/fingerprint_identification,wikipedia,related link,http://en.wikipedia.org/wiki/Fingerprint
https://cso.kmi.open.ac.uk/topics/particle_image_velocimetry,wikipedia,related link,http://en.wikipedia.org/wiki/Particle_image_velocimetry
https://cso.kmi.open.ac.uk/topics/deterministic,wikipedia,related link,http://en.wikipedia.org/wiki/Determinism
https://cso.kmi.open.ac.uk/topics/photon_mapping,wikipedia,related link,http://en.wikipedia.org/wiki/Photon_mapping
https://cso.kmi.open.ac.uk/topics/artificial_intelligence,wikipedia,related link,http://en.wikipedia.org/wiki/Artificial_intelligence
https://cso.kmi.open.ac.uk/topics/semantic_web_service_discovery,wikipedia,related link,http://en.wikipedia.org/wiki/Web_service
https://cso.kmi.open.ac.uk/topics/traceability_management,wikipedia,related link,http://en.wikipedia.org/wiki/Traceability
https://cso.kmi.open.ac.uk/topics/aes_encryption,wikipedia,related link,http://en.wikipedia.org/wiki/Advanced_Encryption_Standard
https://cso.kmi.open.ac.uk/topics/wimax_technology,wikipedia,related link,http://en.wikipedia.org/wiki/WiMAX
https://cso.kmi.open.ac.uk/topics/random_access_memories,wikipedia,related link,http://en.wikipedia.org/wiki/Random_access
https://cso.kmi.open.ac.uk/topics/multimedia_communications,wikipedia,related link,http://en.wikipedia.org/wiki/Multimedia
https://cso.kmi.open.ac.uk/topics/synthetic_speech,wikipedia,related link,http://en.wikipedia.org/wiki/Speech_synthesis
https://cso.kmi.open.ac.uk/topics/linear_programming_relaxation,wikipedia,related link,http://en.wikipedia.org/wiki/Linear_programming_relaxation
https://cso.kmi.open.ac.uk/topics/process_mining,wikipedia,related link,http://en.wikipedia.org/wiki/Process_mining
https://cso.kmi.open.ac.uk/topics/turbo_equalizations,wikipedia,related link,http://en.wikipedia.org/wiki/Turbocharger
https://cso.kmi.open.ac.uk/topics/gyroscope,wikipedia,related link,http://en.wikipedia.org/wiki/Gyroscope
https://cso.kmi.open.ac.uk/topics/mac_layer,wikipedia,related link,http://en.wikipedia.org/wiki/Media_access_control
https://cso.kmi.open.ac.uk/topics/mobile_learning_environment,wikipedia,related link,http://en.wikipedia.org/wiki/M-learning
https://cso.kmi.open.ac.uk/topics/common_object_request_broker_architecture,wikipedia,related link,http://en.wikipedia.org/wiki/Common_Object_Request_Broker_Architecture
https://cso.kmi.open.ac.uk/topics/energy_consumption_model,wikipedia,related link,http://en.wikipedia.org/wiki/Energy_consumption
https://cso.kmi.open.ac.uk/topics/capability_maturity_model_integration,wikipedia,related link,http://en.wikipedia.org/wiki/Capability_Maturity_Model_Integration
https://cso.kmi.open.ac.uk/topics/conformal_mapping,wikipedia,related link,http://en.wikipedia.org/wiki/Conformal_map
https://cso.kmi.open.ac.uk/topics/mesh-free_method,wikipedia,related link,http://en.wikipedia.org/wiki/Meshfree_methods
https://cso.kmi.open.ac.uk/topics/numerical_control,wikipedia,related link,http://en.wikipedia.org/wiki/Numerical_control
https://cso.kmi.open.ac.uk/topics/semantic_dementia,wikipedia,related link,http://en.wikipedia.org/wiki/Semantic_dementia
https://cso.kmi.open.ac.uk/topics/agricultural_mechanization,wikipedia,related link,http://en.wikipedia.org/wiki/Mechanization
https://cso.kmi.open.ac.uk/topics/fuzzy_inference_system,wikipedia,related link,http://en.wikipedia.org/wiki/Inference_engine
https://cso.kmi.open.ac.uk/topics/credit_card,wikipedia,related link,http://en.wikipedia.org/wiki/Credit_card
https://cso.kmi.open.ac.uk/topics/low_energy_consumption,wikipedia,related link,http://en.wikipedia.org/wiki/Energy_consumption
https://cso.kmi.open.ac.uk/topics/concurrent_transactions,wikipedia,related link,http://en.wikipedia.org/wiki/Concurrent_computing
https://cso.kmi.open.ac.uk/topics/integrated_services_digital_networks,wikipedia,related link,http://en.wikipedia.org/wiki/Digital_terrestrial_television
https://cso.kmi.open.ac.uk/topics/computer_viruses,wikipedia,related link,http://en.wikipedia.org/wiki/Computer_virus
https://cso.kmi.open.ac.uk/topics/sliding_mode_observers,wikipedia,related link,http://en.wikipedia.org/wiki/Sliding_mode_control
https://cso.kmi.open.ac.uk/topics/rate_distortion_theory,wikipedia,related link,http://en.wikipedia.org/wiki/Rate–distortion_theory
https://cso.kmi.open.ac.uk/topics/k-means_algorithms,wikipedia,related link,http://en.wikipedia.org/wiki/K-means_clustering
https://cso.kmi.open.ac.uk/topics/cscl,wikipedia,related link,http://en.wikipedia.org/wiki/Computer-supported_collaborative_learning
https://cso.kmi.open.ac.uk/topics/radial_basis_functions,wikipedia,related link,http://en.wikipedia.org/wiki/Radial_basis_function_network
https://cso.kmi.open.ac.uk/topics/graph_rewriting,wikipedia,related link,http://en.wikipedia.org/wiki/Graph_rewriting
https://cso.kmi.open.ac.uk/topics/mode-locked_lasers,wikipedia,related link,http://en.wikipedia.org/wiki/Mode-locking
https://cso.kmi.open.ac.uk/topics/cnc_machining,wikipedia,related link,http://en.wikipedia.org/wiki/Numerical_control
https://cso.kmi.open.ac.uk/topics/generalized_multiprotocol_label_switching,wikipedia,related link,http://en.wikipedia.org/wiki/Multiprotocol_Label_Switching
https://cso.kmi.open.ac.uk/topics/social_web,wikipedia,related link,http://en.wikipedia.org/wiki/Social_web
https://cso.kmi.open.ac.uk/topics/scale_invariant,wikipedia,related link,http://en.wikipedia.org/wiki/Scale_invariance
https://cso.kmi.open.ac.uk/topics/bpmn,wikipedia,related link,http://en.wikipedia.org/wiki/Business_Process_Model_and_Notation
https://cso.kmi.open.ac.uk/topics/xml_schema,wikipedia,related link,http://en.wikipedia.org/wiki/XML_schema
https://cso.kmi.open.ac.uk/topics/wireless_sensor_networks_%28wsns%29,wikipedia,related link,http://en.wikipedia.org/wiki/Wireless_sensor_network
https://cso.kmi.open.ac.uk/topics/ethernet,wikipedia,related link,http://en.wikipedia.org/wiki/Ethernet
https://cso.kmi.open.ac.uk/topics/dependency_parser,wikipedia,related link,http://en.wikipedia.org/wiki/Parsing
https://cso.kmi.open.ac.uk/topics/parallel_corpora,wikipedia,related link,http://en.wikipedia.org/wiki/Parallel_text
https://cso.kmi.open.ac.uk/topics/source_coding,wikipedia,related link,http://en.wikipedia.org/wiki/Data_compression
https://cso.kmi.open.ac.uk/topics/strehl_ratio,wikipedia,related link,http://en.wikipedia.org/wiki/Strehl_ratio
https://cso.kmi.open.ac.uk/topics/image_compression,wikipedia,related link,http://en.wikipedia.org/wiki/Image_compression
https://cso.kmi.open.ac.uk/topics/flip_flop_circuits,wikipedia,related link,http://en.wikipedia.org/wiki/Flip-flop_(electronics)
https://cso.kmi.open.ac.uk/topics/personalized_learning,wikipedia,related link,http://en.wikipedia.org/wiki/Personalized_learning
https://cso.kmi.open.ac.uk/topics/coplanar_waveguides,wikipedia,related link,http://en.wikipedia.org/wiki/Coplanarity
https://cso.kmi.open.ac.uk/topics/maximum-likelihood_decoding,wikipedia,related link,http://en.wikipedia.org/wiki/Maximum_likelihood_estimation
https://cso.kmi.open.ac.uk/topics/collaborative_software_development,wikipedia,related link,http://en.wikipedia.org/wiki/Collaborative_software
https://cso.kmi.open.ac.uk/topics/electronic_health_record_systems,wikipedia,related link,http://en.wikipedia.org/wiki/Electronic_health_record
https://cso.kmi.open.ac.uk/topics/hypermedia_systems,wikipedia,related link,http://en.wikipedia.org/wiki/Hypermedia
https://cso.kmi.open.ac.uk/topics/decision_table,wikipedia,related link,http://en.wikipedia.org/wiki/Decision_table
https://cso.kmi.open.ac.uk/topics/fiber_gratings,wikipedia,related link,http://en.wikipedia.org/wiki/Fiber
https://cso.kmi.open.ac.uk/topics/infra-red_sensor,wikipedia,related link,http://en.wikipedia.org/wiki/Infrared
