Parent URL,Type,Tool URL,German Parent URL,German Tool URL
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Eclipse_Metro,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Hessian_(Web_service_protocol),http://de.dbpedia.org/resource/Kategorie:Webservice,http://de.dbpedia.org/resource/Hessian_(Webprotokoll)
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Karelia_Watson,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/IBM_cloud_computing,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Open_Build_Service,http://de.dbpedia.org/resource/Kategorie:Webservice,http://de.dbpedia.org/resource/Open_Build_Service
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Oracle_Cloud,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Microsoft_Azure__Microsoft_Azure__1,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Algorithm,Tool,http://dbpedia.org/resource/ProBiS,http://de.dbpedia.org/resource/Algorithmus,
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/PowerMILL,http://de.dbpedia.org/resource/Computer-aided_manufacturing,
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/VariCAD,http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/VariCAD
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/VoluMill,http://de.dbpedia.org/resource/Computer-aided_manufacturing,
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/FreeCAD,http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/FreeCAD
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/Fusion_360,http://de.dbpedia.org/resource/Computer-aided_manufacturing,
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/Cadwork,http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/Cadwork
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/Siemens_NX,http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/NX_(Siemens)
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/C3D_Toolkit,http://de.dbpedia.org/resource/Computer-aided_manufacturing,
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/CADSTAR,http://de.dbpedia.org/resource/Computer-aided_manufacturing,
http://dbpedia.org/resource/Computer-aided_manufacturing,Tool,http://dbpedia.org/resource/CATIA,http://de.dbpedia.org/resource/Computer-aided_manufacturing,http://de.dbpedia.org/resource/CATIA
